Date,Week,DenScore,OppScore,DenWin,Home,OffPassYrds,OffRushYrds,Def1stDwns,DefPassYrds,DefRushYrds,Notes
09/08/2016,1,21,20,1,1,159,148,21,176,157,
09/18/2016,2,34,20,1,1,266,134,19,170,83,
09/25/2016,3,29,17,1,0,303,52,20,189,143,
10/02/2016,4,27,7,1,0,218,89,15,143,72,
10/09/2016,5,16,23,0,1,183,84,19,250,122,
10/13/2016,6,13,21,0,0,220,84,16,166,99,
10/24/2016,7,27,9,1,1,157,190,14,131,140,
10/30/2016,8,27,19,1,1,267,57,21,246,123,
11/06/2016,9,20,30,0,0,266,33,30,179,218,
11/13/2016,10,25,23,1,0,234,103,19,293,80,bye wk 11
11/27/2016,12,27,30,0,1,340,124,23,190,83,bye wk 11
12/04/2016,13,20,10,1,0,102,104,19,179,154,
12/11/2016,14,10,13,0,0,330,18,16,73,180,
12/18/2016,15,3,16,0,1,251,58,20,177,136,
12/25/2016,16,10,33,0,0,183,63,23,246,238,
01/01/2017,17,24,6,1,1,206,143,11,164,57,
